"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 15:58:12:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"151","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"154","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"152","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"155","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"156","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"157","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"158","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"161","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"159","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"160","0.5","1","0.5","5","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"162","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"163","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"165","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"164","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"168","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"166","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"167","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"169","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"170","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"171","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"172","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"174","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"173","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"176","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"175","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"177","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"178","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"180","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"179","0.5","1","0.5","5","false","0.002","0.2","100","15","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"181","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","14","24","16","26","0","3","5","8","4","0"
"182","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","23","24","11","22","0","4","9","6","1","0"
"183","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","14","20","20","26","0","5","5","7","3","0"
"184","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","16","22","21","21","0","6","5","5","4","0"
"185","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","16","19","28","17","0","4","5","6","5","0"
"187","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","23","28","11","18","0","7","3","7","3","0"
"186","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","18","26","17","19","0","5","4","4","7","0"
"189","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","20","21","20","19","0","8","3","3","6","0"
"188","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","18","21","20","21","0","5","5","6","4","0"
"190","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","23","24","15","18","0","4","5","7","4","0"
"191","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","10","33","22","15","0","4","5","7","4","0"
"192","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","24","21","20","15","0","2","3","7","8","0"
"194","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","17","20","27","16","0","7","7","5","1","0"
"193","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","13","12","21","34","0","4","5","8","3","0"
"195","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","21","20","18","21","0","3","7","7","3","0"
"196","0.5","1","0.5","5","false","0.002","0.2","100","20","2","250","0.2","500","17","24","20","19","0","3","6","6","5","0"
