"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 14:12:01:555 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"84","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"87","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"85","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"88","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"89","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"90","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"91","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"92","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","89","1","0","0","6","0","4","0"
"93","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"94","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"95","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","4","0","6","0"
"96","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"97","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"98","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"100","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"99","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.1","500","0","0","1","89","0","0","0","0","10","0"
"101","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","79","0","1","0","20","0","0","0"
"102","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"103","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"104","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","77","3","0","0","20","0","0","0"
"105","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","1","0","79","0","0","0","20","0","0","0"
"107","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","79","0","1","0","20","0","0","0"
"106","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"108","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"109","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"111","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"110","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","19","0","1","0"
"112","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"113","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"114","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"115","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"118","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","80","0","0","0","1","0","19","0","0"
"117","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
"116","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"119","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","1","0","19","0"
"120","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"122","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.3","500","70","0","0","0","0","30","0","0","0","0"
"121","0.5","1","0.5","0","false","0.002","0.2","100","5","2","250","0.3","500","0","0","70","0","0","0","30","0","0","0"
