"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 17:19:55:486 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"132","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","70","0","0","0","0","0","30","0","0"
"133","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","70","0","0","0","1","0","29","0","0"
"131","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","41","29","0","0","27","0","3","0"
"134","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","70","0","0","0","0","0","30","0","0"
"135","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","70","0","0","0","0","30","0","0","0","0"
"136","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","70","0","0","0","0","30","0","0","0","0"
"137","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","59","0","11","0","0","0","29","1","0"
"139","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","70","0","0","0","0","30","0","0","0","0"
"138","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","48","22","0","0","15","0","15","0"
"140","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.3","500","0","0","0","70","0","0","0","0","30","0"
"141","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","60","0","0","0","0","40","0","0","0","0"
"142","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"143","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","13","10","25","12","0","10","21","4","5","0"
"144","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"145","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"146","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","60","0","0","0","0","40","0","0","0","0"
"147","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"148","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","58","0","2","0","0","0","39","1","0"
"149","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","0","60","0","0","0","0","40","0"
"150","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","0","60","0","0","0","0","40","0"
"151","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","60","0","0","0","40","0","0","0"
"153","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","60","0","0","0","0","40","0","0","0","0"
"152","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","60","0","0","0","40","0","0","0"
"154","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","0","60","0","0","0","0","40","0"
"155","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","0","60","0","0","0","0","40","0"
"156","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"157","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","0","60","0","0","0","0","40","0"
"158","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","0","60","0","0","0","40","0","0","0"
"159","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","0","60","0","0","0","0","0","40","0","0"
"160","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.4","500","60","0","0","0","0","40","0","0","0","0"
"161","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"162","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"163","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","90","0","0","0","0","10","0","0","0","0"
"165","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.1","500","24","66","0","0","0","3","0","7","0","0"
